,"inflation, consumer prices","inflation, consumer prices"
country,Brazil,"Venezuela, RB"
date,,
1990,2947.73292977144,40.6557520766212
1991,432.784601550032,34.2054006887204
1992,951.648459931688,31.422633491623
1993,1927.98349793956,38.1216152942323
1994,2075.88718211714,60.821010080335
1995,66.0078763077924,59.9191040193451
1996,15.7574360967243,99.8771422389461
1997,6.92531694489087,50.0390698878177
1998,3.19859189123574,35.7820152822163
1999,4.85796624125155,23.569890345332
2000,7.04470245106287,16.2048073102902
2001,6.83783075713912,12.5347237061409
2002,8.45022069641981,22.4327814066535
2003,14.7153258264369,31.0896739973325
2004,6.59912484724249,21.7476693010271
2005,6.867349580267,15.9546308713812
2006,4.18368053152467,13.6626456363019
2007,3.63702793370311,18.6986453475461
2008,5.6630985193257,31.4405986903652
2009,4.88640844429616,27.0809414466132
2010,5.03831694621168,28.1874647092039
2011,6.63619865692984,26.0902123160959
2012,5.40196474982358,21.0689956331876
2013,6.20189961255349,40.6394275161589
2014,6.33209234205231,62.1686499794828
2015,9.02723977356148,121.738085297504
